"  [ 144.658240483460474, -38.115667586610293 ] "
"  [ 143.224749236710721, -36.179429998056833 ] "
"  [ 143.294259634628332, -34.993979869637421 ] "
"  [ 146.142423345583836, -37.345148621391623 ] "
"  [ 146.142423345583836, -37.345148621391623 ] "
"  [ 146.469905022267454, -38.271216251528195 ] "
"  [ 143.637918693034436, -37.679077422837253 ] "
"  [ 144.995392550122887, -37.910582261643533 ] "
"  [ 144.351980085030277, -37.956230009118897 ] "
"  [ 143.247310932484311, -34.781038893464874 ] "
"  [ 145.217743378435159, -37.846241055128637 ] "
"  [ 144.758946968761109, -36.711260523757787 ] "
"  [ 145.388919153685322, -37.891260850155334 ] "
"  [ 144.380422652183483, -36.487180426559682 ] "
"  [ 146.32092981616205, -36.357932585454691 ] "
"  [ 146.284572934108326, -38.192279173987181 ] "
"  [ 145.011906226747499, -37.969542239962401 ] "
"  [ 145.8798685649449, -38.530198462812493 ] "
"  [ 144.667632010319124, -37.875945496798309 ] "
"  [ 145.222630337500846, -36.414107788465998 ] "
"  [ 143.666862182906328, -37.653813970799781 ] "
"  [ 143.363039997486595, -35.185368803128931 ] "
"  [ 142.057218667615899, -38.154100233599706 ] "
"  [ 144.567950000544272, -36.198961715888359 ] "
"  [ 146.74722323862207, -38.416590776586709 ] "
"  [ 145.967584930810432, -36.633119369143159 ] "
"  [ 144.535111336393868, -37.476405692611443 ] "
"  [ 145.192571811698343, -37.941064119204277 ] "
"  [ 144.695577768050072, -37.697329779875375 ] "
"  [ 145.163329069332605, -37.893953576650219 ] "
"  [ 145.659890880071629, -35.950260007272163 ] "
"  [ 145.103630823511196, -37.944626080393341 ] "
"  [ 142.588560269853957, -37.05514992815263 ] "
"  [ 145.266430275797603, -37.958637247812831 ] "
"  [ 146.007790017739126, -36.269942964858707 ] "
"  [ 148.871984282168398, -37.11936720445734 ] "
"  [ 143.995730924244555, -37.399400340866237 ] "
"  [ 144.455275416397086, -37.58203034455417 ] "
"  [ 145.592669243496658, -36.739689285828618 ] "
"  [ 144.95529955506143, -37.799539013065363 ] "
"  [ 144.702027491829739, -37.920960253784784 ] "
"  [ 143.516527537589695, -37.231829355580395 ] "
"  [ 144.899771027060808, -37.814665284634444 ] "
"  [ 146.329700332712065, -39.024009395062841 ] "
"  [ 142.083100238031477, -36.660667761205453 ] "
"  [ 144.797211512185555, -37.692778451076123 ] "
